variable,high_icp_mean,low_icp_mean,difference,p_value,significant
total,3183.740331491713,3174.7055555555557,9.034775936157075,0.39248868197183795,False
filter_press,238.20441988950276,240.12777777777777,-1.9233578882750066,0.009919872353869258,True
dry,1441.243093922652,1439.4944444444445,1.748649478207426,0.33444288561763125,False
ems,238.73480662983425,239.92777777777778,-1.192971147943524,0.10764349096756076,False
washing,239.28176795580112,239.5388888888889,-0.2571209330877764,0.7346097854072982,False
shifter,239.41436464088397,239.57222222222222,-0.15785758133824856,0.8294243383311685,False
cooler,239.93370165745856,239.89444444444445,0.03925721301411045,0.9563456645996141,False
packing,240.28729281767957,240.26666666666668,0.020626151012891114,0.9782144766236169,False
