feature,correlation
qcp_105,-0.09377156861310532
qcp_078,-0.08203656104494819
qcp_123,0.07642632945930941
qcp_109,-0.07634059940900581
qcp_072,-0.07435951285534685
qcp_016,-0.0716152078993939
qcp_144,-0.06612564806605409
qcp_002,0.06564000698233884
qcp_149,0.06041885358804326
qcp_045,0.060162770327689075
qcp_029,0.05962868760308718
qcp_041,0.059007019819167006
qcp_093,-0.05642008307668374
qcp_040,0.05545290369126882
qcp_075,-0.052272903084460476
qcp_012,0.05194642797561715
qcp_022,-0.05151055587421722
qcp_038,-0.05018857579528804
qcp_026,0.05010091296675987
qcp_044,-0.04642393405779175
qcp_047,0.04627335130795924
qcp_128,-0.046075280862573675
qcp_096,0.04598967959172394
qcp_113,-0.045430659907031996
qcp_174,-0.04469719013865929
qcp_120,0.044536855133117864
qcp_118,0.043945493211390116
qcp_085,-0.04146793528975341
qcp_015,-0.04100487861074113
qcp_155,0.04000228013173294
qcp_117,-0.03987064469468297
qcp_071,-0.0397735274153173
qcp_098,0.03920560121004867
qcp_171,0.03873575983607038
qcp_154,0.03865418561943644
qcp_083,-0.03855311322518605
qcp_141,-0.0382527105247187
qcp_100,0.038214930581347055
qcp_090,0.037565038704693986
qcp_162,0.03735021720561555
qcp_175,-0.03681567974141731
qcp_077,-0.0359622302520925
qcp_159,0.03561298301411227
qcp_067,0.03535830029526481
qcp_034,-0.0348583124162976
qcp_116,0.034786282974978947
qcp_089,0.03426197778167984
qcp_110,0.03412999046813384
qcp_151,0.033973894987349394
qcp_066,0.033937906972280135
qcp_032,-0.033850649276157795
qcp_035,-0.03319100290359553
qcp_023,-0.033179898651700915
qcp_095,-0.03277628208590617
qcp_018,-0.03262175092814581
qcp_024,0.03145687172122946
qcp_146,-0.031112557070489846
qcp_074,0.03102862581594345
qcp_048,-0.031016638203990136
qcp_073,0.03100231428980799
qcp_094,0.030564704346627152
qcp_147,0.030257653994778158
qcp_051,0.029711712756209156
qcp_037,-0.029527398580757137
qcp_136,0.029461779883051147
qcp_115,0.02935276180686889
qcp_019,-0.029061468744828647
qcp_056,-0.028464493629605774
qcp_157,0.028374976911081616
qcp_011,-0.028275177044690514
qcp_166,-0.028270898356455722
qcp_158,0.0279670784148546
qcp_133,-0.027626204865344155
qcp_068,-0.02724683415090521
qcp_139,0.027032508041671666
qcp_013,0.02691149909470954
qcp_087,0.02679796132633593
qcp_153,-0.02582338945289302
qcp_148,-0.02537565389760477
qcp_156,0.02518034546453583
qcp_065,-0.024581062005213948
qcp_003,-0.024423304050716355
qcp_043,-0.024226162043913875
qcp_170,-0.024086918737501007
qcp_101,-0.023876551062272988
qcp_137,-0.023808218223068566
qcp_009,-0.02379320009641386
qcp_017,-0.023784968325178582
qcp_088,0.023717699276982206
qcp_142,0.023547493235717785
qcp_168,0.02337824369032782
qcp_097,0.023346101374645937
qcp_020,0.022690543433189957
qcp_063,-0.02225136992952252
qcp_135,0.02162224930097266
qcp_124,0.021347607843181855
qcp_104,0.020675142071750374
qcp_080,0.019613941021461693
qcp_176,-0.019128442909699648
qcp_033,0.01902464748724839
qcp_061,-0.017918742431690334
qcp_010,0.01764207914037747
qcp_150,0.017618468803584118
qcp_079,-0.017016433322461822
qcp_119,0.016424436083708888
qcp_165,-0.01634272927032584
qcp_076,-0.01628236366655419
qcp_004,0.01627951046401485
qcp_064,-0.01571007459272922
qcp_062,-0.01567893713595797
qcp_046,0.015657380367821987
qcp_025,0.015456377024014239
qcp_112,-0.015446748258596082
qcp_053,0.014861883572335581
qcp_131,0.014631034213669925
qcp_007,0.014560330661462666
qcp_132,-0.014492286689511191
qcp_138,0.014370745575979655
qcp_042,-0.014292961131149827
qcp_160,-0.014206859374775394
qcp_167,-0.01347154487784028
qcp_039,0.01331117880866774
qcp_130,-0.012881722305348028
qcp_031,0.012383694977271547
qcp_069,0.012315720053103578
qcp_172,0.01228505382847613
qcp_145,0.012046211436257925
qcp_140,0.011379617647391583
qcp_084,0.011342062152357666
qcp_086,-0.011240937836247694
qcp_127,0.011147215374106408
qcp_060,-0.010789102563966299
qcp_027,0.010513901484554054
qcp_058,0.01047509577935981
qcp_111,0.010464627667138864
qcp_102,0.010423908469241802
qcp_107,-0.010342089219299213
qcp_014,0.010004019282663203
qcp_121,0.00983272333345188
qcp_070,-0.009331133879182558
qcp_106,-0.008745180570734328
qcp_143,0.008474399051758922
qcp_001,0.008245250470902505
qcp_164,-0.008105404937836293
qcp_173,0.00790380968337514
qcp_126,-0.007644640582804687
qcp_021,-0.0075780511578442825
qcp_108,-0.007401477448360147
qcp_049,-0.007385129305269894
qcp_129,-0.006820296933316985
qcp_081,-0.006813226020197468
qcp_125,0.005580102330285121
qcp_103,-0.00499782497068323
qcp_006,0.004532815369174796
qcp_152,-0.004377917971049333
qcp_122,0.004166152124420773
qcp_134,0.0040682818604465135
qcp_054,0.0039182735224887215
qcp_161,0.003850738427664564
qcp_059,-0.003848934187862366
qcp_092,-0.0033558344139674296
qcp_177,-0.003188510158306141
qcp_091,-0.0029145894698718207
qcp_163,-0.0028944979510774948
qcp_114,0.0026586146390414063
qcp_055,0.002644166506485469
qcp_057,-0.0026335311957628024
qcp_030,0.002630913085577123
qcp_099,0.002052967051790691
qcp_169,0.0020239192999533424
qcp_050,-0.0019505086846320137
qcp_178,-0.0019086901024192341
qcp_005,0.0012948643776605124
qcp_082,-0.0012001682777007948
qcp_036,0.001145362629247378
qcp_028,0.0007947288981390313
qcp_052,0.0007681878488899778
qcp_008,0.0004964559147403618
