component,explained_variance,cumulative_variance
1,0.011093183262999445,0.011093183262999445
2,0.010778967660174325,0.02187215092317377
3,0.010686274388336652,0.032558425311510424
4,0.010464029369180373,0.0430224546806908
5,0.010355299830747379,0.053377754511438176
6,0.010280313254323261,0.06365806776576144
7,0.01021648744007585,0.07387455520583729
8,0.01011429936554829,0.08398885457138558
9,0.009984205739897797,0.09397306031128337
10,0.009969418600052507,0.10394247891133587
11,0.009778099800404052,0.11372057871173992
12,0.00968939889176376,0.12340997760350368
13,0.009636122230258982,0.13304609983376267
14,0.009599119351461618,0.1426452191852243
15,0.009363082948208984,0.15200830213343328
16,0.00936025439904384,0.16136855653247711
17,0.009325966561552785,0.1706945230940299
18,0.009114831295019183,0.1798093543890491
19,0.009105049564316728,0.18891440395336584
20,0.00909481129923477,0.19800921525260062
21,0.00897592148819645,0.20698513674079708
22,0.008893527493563053,0.21587866423436014
23,0.008780550340107052,0.2246592145744672
24,0.008711974124357294,0.23337118869882448
25,0.008610977420106915,0.2419821661189314
26,0.008562576938835706,0.2505447430577671
27,0.008510701163168986,0.25905544422093607
28,0.00844174363621983,0.2674971878571559
29,0.008403328009445198,0.27590051586660114
30,0.008349951406355303,0.28425046727295644
31,0.008259107721799486,0.29250957499475594
32,0.008229572969534102,0.30073914796429
33,0.008154314533288545,0.30889346249757854
34,0.008100490236889215,0.31699395273446773
35,0.008064323514997796,0.32505827624946554
36,0.008007628974344538,0.3330659052238101
37,0.007931199395913092,0.34099710461972316
38,0.007870644762768823,0.348867749382492
39,0.007800994207200221,0.3566687435896922
40,0.007668100301967001,0.3643368438916592
41,0.007585578041274741,0.37192242193293396
42,0.007563948339467054,0.379486370272401
43,0.0074917101044440415,0.38697808037684506
44,0.0073853583786304714,0.3943634387554755
45,0.00735310894762477,0.4017165477031003
46,0.007259294413571718,0.408975842116672
47,0.0072346608114277206,0.4162105029280997
48,0.007223459376901916,0.42343396230500163
49,0.007176625643231971,0.4306105879482336
50,0.0071411279764446835,0.43775171592467826
51,0.007045683089531885,0.44479739901421017
52,0.006973679019279006,0.4517710780334892
53,0.0069684553056404246,0.45873953333912965
54,0.0068803250306279954,0.46561985836975767
55,0.006843138028728653,0.4724629963984863
56,0.006799099309116601,0.4792620957076029
57,0.006756589579019899,0.48601868528662284
58,0.006737263989683926,0.4927559492763068
59,0.006655552350960327,0.4994115016272671
60,0.006578328154036031,0.5059898297813031
61,0.006552333967447836,0.512542163748751
62,0.0064883553475151455,0.5190305190962661
63,0.006482211860055468,0.5255127309563216
64,0.00644512266940796,0.5319578536257296
65,0.006374976707953867,0.5383328303336834
66,0.006369329824019941,0.5447021601577033
67,0.006286759525715014,0.5509889196834183
68,0.006265189006841013,0.5572541086902594
69,0.0062282005084301865,0.5634823091986896
70,0.006184584443801012,0.5696668936424906
71,0.006105722097652802,0.5757726157401434
72,0.006056974130136933,0.5818295898702803
73,0.006011216983374133,0.5878408068536545
74,0.005960771458147117,0.5938015783118016
75,0.005917696827382581,0.5997192751391842
76,0.005863591938306715,0.605582867077491
77,0.005812830930049047,0.61139569800754
78,0.005783419921229164,0.6171791179287692
79,0.00574537078098201,0.6229244887097513
80,0.005727853522146675,0.6286523422318979
81,0.005697647481860212,0.6343499897137581
82,0.005590710605706608,0.6399407003194647
83,0.0055385375781923235,0.645479237897657
84,0.005487161580708413,0.6509663994783654
85,0.005462053422298277,0.6564284529006638
86,0.005394063699487751,0.6618225166001516
87,0.005354144070976703,0.6671766606711282
88,0.0053220262867726695,0.6724986869579009
89,0.0052958160978547,0.6777945030557556
90,0.0052622601884569345,0.6830567632442125
91,0.0051888063494272205,0.6882455695936397
92,0.005174949670740608,0.6934205192643803
93,0.005115674797134871,0.6985361940615151
94,0.00505986625389983,0.703596060315415
95,0.005018285844732391,0.7086143461601474
96,0.004996172608538754,0.7136105187686862
97,0.004972960420621573,0.7185834791893078
98,0.004891005633124228,0.723474484822432
99,0.00487206331124597,0.728346548133678
100,0.004819640197558145,0.7331661883312361
101,0.004786852384335829,0.737953040715572
102,0.004769639351376039,0.7427226800669481
103,0.004734200320933575,0.7474568803878816
104,0.004660401205552874,0.7521172815934345
105,0.004629517419005436,0.7567467990124399
106,0.0045889298145206795,0.7613357288269605
107,0.00457875869510118,0.7659144875220617
108,0.0045572756397281285,0.7704717631617898
109,0.0045162261901538475,0.7749879893519436
110,0.004497522230557267,0.7794855115825008
111,0.004429137508555151,0.7839146490910559
112,0.004406899336964279,0.7883215484280202
113,0.0043931218985280894,0.7927146703265483
114,0.004373266307313972,0.7970879366338622
115,0.004330334042889036,0.8014182706767513
116,0.004285462222797817,0.8057037328995491
117,0.004234439399974392,0.8099381722995235
118,0.004223132627957534,0.814161304927481
119,0.004168824409922686,0.8183301293374037
120,0.00413092263941483,0.8224610519768185
121,0.004097160625659324,0.8265582126024779
122,0.004033816193178557,0.8305920287956564
123,0.004023757106663552,0.83461578590232
124,0.0039662147850319475,0.8385820006873519
125,0.003930916110800473,0.8425129167981523
126,0.003909172046893621,0.846422088845046
127,0.003866054339179019,0.850288143184225
128,0.003813821441125918,0.8541019646253509
129,0.0037747149172252976,0.8578766795425762
130,0.003736875870104264,0.8616135554126805
131,0.003731782456705931,0.8653453378693864
132,0.0036760518238505143,0.869021389693237
133,0.003615632158492055,0.872637021851729
134,0.0035866034827877202,0.8762236253345167
135,0.003579027418018972,0.8798026527525357
136,0.003549696501729429,0.8833523492542651
137,0.003505943965180668,0.8868582932194458
138,0.0034909649443681076,0.8903492581638138
139,0.0034437579093603175,0.8937930160731742
140,0.003399461827386538,0.8971924779005607
141,0.0033953854663226327,0.9005878633668833
142,0.003357693604940413,0.9039455569718238
143,0.0033099331227442854,0.9072554900945681
144,0.003275917456686682,0.9105314075512547
145,0.003248595998372968,0.9137800035496277
146,0.0032136062224065332,0.9169936097720343
147,0.0031762958333040356,0.9201699056053383
148,0.0031236482271631985,0.9232935538325014
149,0.0031173920173043876,0.9264109458498059
150,0.0030982895333004326,0.9295092353831063
151,0.0030363535612695416,0.9325455889443758
152,0.0029683995066011166,0.9355139884509769
153,0.0029515894242482816,0.9384655778752252
154,0.0029292057529759176,0.9413947836282012
155,0.0028787743208265543,0.9442735579490277
156,0.0028344353742656273,0.9471079933232933
157,0.0027795950243882346,0.9498875883476815
158,0.0027490253663627843,0.9526366137140443
159,0.0027307490354187267,0.955367362749463
160,0.0026911199763301028,0.9580584827257931
161,0.0026481344395708484,0.960706617165364
162,0.0026393465720380136,0.963345963737402
163,0.002616732741034077,0.965962696478436
164,0.0025643712557331466,0.9685270677341692
165,0.0025326042151114767,0.9710596719492807
166,0.002522755870956365,0.9735824278202371
167,0.0024397584374755026,0.9760221862577125
168,0.002400153322716198,0.9784223395804287
169,0.002375396279368811,0.9807977358597975
170,0.0023344473122592553,0.9831321831720568
171,0.002277846750686972,0.9854100299227437
172,0.002245038113746028,0.9876550680364897
173,0.0021888483084125197,0.9898439163449022
174,0.002131007156311119,0.9919749235012133
175,0.002055757340446323,0.9940306808416596
176,0.00200624839041743,0.996036929232077
177,0.0019905356447278326,0.9980274648768048
178,0.0019725351231948086,0.9999999999999997
