,qcp_001,qcp_002,qcp_003,qcp_004,qcp_005,qcp_006,qcp_007,qcp_008,qcp_009,qcp_010,qcp_011,qcp_012,qcp_013,qcp_014,qcp_015,qcp_016,qcp_017,qcp_018,qcp_019,qcp_020,qcp_021,qcp_022,qcp_023,qcp_024,qcp_025,qcp_026,qcp_027,qcp_028,qcp_029,qcp_030,qcp_031,qcp_032,qcp_033,qcp_034,qcp_035,qcp_036,qcp_037,qcp_038,qcp_039,qcp_040,qcp_041,qcp_042,qcp_043,qcp_044,qcp_045,qcp_046,qcp_047,qcp_048,qcp_049,qcp_050,qcp_051,qcp_052,qcp_053,qcp_054,qcp_055,qcp_056,qcp_057,qcp_058,qcp_059,qcp_060,qcp_061,qcp_062,qcp_063,qcp_064,qcp_065,qcp_066,qcp_067,qcp_068,qcp_069,qcp_070,qcp_071,qcp_072,qcp_073,qcp_074,qcp_075,qcp_076,qcp_077,qcp_078,qcp_079,qcp_080,qcp_081,qcp_082,qcp_083,qcp_084,qcp_085,qcp_086,qcp_087,qcp_088,qcp_089,qcp_090,qcp_091,qcp_092,qcp_093,qcp_094,qcp_095,qcp_096,qcp_097,qcp_098,qcp_099,qcp_100,qcp_101,qcp_102,qcp_103,qcp_104,qcp_105,qcp_106,qcp_107,qcp_108,qcp_109,qcp_110,qcp_111,qcp_112,qcp_113,qcp_114,qcp_115,qcp_116,qcp_117,qcp_118,qcp_119,qcp_120,qcp_121,qcp_122,qcp_123,qcp_124,qcp_125,qcp_126,qcp_127,qcp_128,qcp_129,qcp_130,qcp_131,qcp_132,qcp_133,qcp_134,qcp_135,qcp_136,qcp_137,qcp_138,qcp_139,qcp_140,qcp_141,qcp_142,qcp_143,qcp_144,qcp_145,qcp_146,qcp_147,qcp_148,qcp_149,qcp_150,qcp_151,qcp_152,qcp_153,qcp_154,qcp_155,qcp_156,qcp_157,qcp_158,qcp_159,qcp_160,qcp_161,qcp_162,qcp_163,qcp_164,qcp_165,qcp_166,qcp_167,qcp_168,qcp_169,qcp_170,qcp_171,qcp_172,qcp_173,qcp_174,qcp_175,qcp_176,qcp_177,qcp_178
PC1,-0.14857189938013063,-0.03706029312402577,0.07048519306457385,0.026628325800330734,0.0998848593764266,0.06751994024472352,0.11348731467955325,-0.06300896288459525,0.07385526535266025,0.21468824847216017,-0.03365240548923443,0.0887154587583339,-0.06943856409710322,0.09359159063766416,-0.10009800333475907,0.08676991391807035,-0.044139786729682315,-0.06422508050559565,0.06684318987356502,-0.06776478358648808,0.002614753066411833,0.13073981547766014,-0.10794442642228648,0.025629093693896467,0.058777062499464024,-0.01681394398574592,-0.017423463356908954,-0.050692785754144654,-0.014913211598509984,-0.02507517652938804,-0.04022334095001553,-0.1374242134132531,-0.01303453199905243,0.027406254410461527,0.14474871683925636,0.06978448131089753,-0.13427338228405,0.03774346022568522,0.12369595687997342,0.1667034531445093,0.07657469277349555,-0.07446873746786042,0.12630911925601418,0.037696434637248054,0.05067592352597915,0.013557500831349014,0.01667066343493075,-0.03154332021827159,0.07185071905580126,0.0415412166469298,-0.04614121573066738,-0.10538904938354227,-0.07156859747500388,0.019484615661591327,-0.07626909905763732,0.07903534368007671,-0.11984761793861279,0.03719521416939298,0.0694494323057412,-0.09207050922707721,0.08553838274806892,-0.12258565562844706,-0.0474171911052228,0.05236426106292696,-0.09192554610921469,-0.11808695377405605,0.10795001671852096,-0.050898235934579296,0.07516377477833551,0.10610350555248495,-0.13007408909198565,-0.07024858761298874,-0.0489931862691228,-0.027867820173040212,-0.03387683316737048,-0.07400392383847551,-0.050794806648430196,0.058555407960357166,-0.01247961285378402,-0.0760507804554661,-0.05212868778047704,0.06702625593365281,0.06746851656487332,0.07588635893952918,0.0009699426096997509,0.0832353059295932,0.0668266626708444,-0.09865693381930477,0.05037758801607811,0.03482666542094628,0.01721248005313384,-0.02486278622763518,0.03483507802951984,0.06525968067807451,-0.06372889123826359,0.06927485371971878,0.10905875353971227,-0.016041875322676057,0.010461207643160764,0.05266928589655866,-0.027358389867575675,0.03768022115537689,0.002793889484951669,-0.031100722921575102,-0.07799227617801656,0.08390399475848548,-0.11770033122284251,0.02120673162215714,-0.05391309642716922,-0.05413362746962307,0.00488911276731219,-0.04591196797751557,-0.0397871543758096,-0.12058464666432699,-0.1339534078836848,-0.053630577225841226,0.05452624042737206,0.03351025390760144,0.04311190887717748,-0.04411380955470474,-0.08313216592892778,0.08675884270716072,0.03297187154320204,0.039289431615273616,0.0414450280499409,-0.20691338794740421,0.03847006486520035,0.030854201294171987,0.036011244221975436,-0.01685183830868147,-0.001312010222964742,0.08121118082372583,0.058977291981764685,-0.017790973510991452,0.014997269128621609,-0.11506097088960157,-0.06360758456995226,-0.00902954598044087,0.13957471707272526,0.017136785508291563,-0.017461452055452256,-0.03841095475197149,0.12649121199175328,-0.13002467797484746,0.04155509371723162,-0.039149820971932925,-0.08055035793661469,0.015074357147612832,-0.002751658793082044,-0.09590297395300205,-0.13506465344377544,0.06331009050767063,-0.04856121529360288,-0.04311866749287886,-0.03260057113892708,0.007429359903898755,0.08395010778682403,-0.003324852676948524,-0.03630377706612621,-0.017774024011050105,0.06193649730261866,0.07836723575836645,-0.043981763445088605,0.0855686786387534,-0.19124717877943456,0.04896389154707075,-0.0425694588791374,-0.004558706779583552,-0.022974788517756348,0.012287717285650333,-0.03466351592066898,0.14311982744745455,-0.027663496801163562,-0.0978136769319377,-0.04693519660015551,-0.07174132692099038,-0.04331970360431666,0.02110646873290048
PC2,-0.002020080162332109,-0.021524020089415414,0.2566840859267515,-0.04660298236115907,-0.126883967131314,0.016675213988873692,0.042687203485282176,0.03146577583222255,0.011858230092019357,-0.04211167461706947,-0.056182067559865545,0.07319002355039629,0.06331083256407065,0.1514621470092622,-0.027102428727821815,0.015391667072879506,0.07379124265609625,0.16620618327951253,0.008934661408868273,-0.13200490021985853,-0.011129821708346352,0.0505118457615862,-0.060005093825468696,0.03695096979945862,-0.004706890554017998,-0.01586710701463634,0.05023293870690443,0.12592499472642407,0.06724066687966597,-0.14222155623407184,0.015366173243549216,-0.16163771100630697,-0.11847946182930548,-0.0016187299274254038,0.07042073367518553,-0.006382857403191882,0.055217307878869665,-0.039520207370195716,-0.0548759162043981,0.03926404362425865,0.08873332197099451,-0.009575217047626226,0.013279272702739145,0.01462895386078225,0.00013553385694508712,0.005348642129817187,0.003266222769160432,-0.09798371805574277,-0.017581607322488667,0.14087714866287868,0.07370876650837442,-0.1741246372536299,-0.07590085226736873,0.14516400634459264,0.03973630043025286,-0.07850130900420842,-0.041281802562083865,-0.04306691436022882,0.05046280853248607,-0.0910891794482179,0.06900380499225651,0.007295526817213298,0.019969458885723962,0.013810545573147663,0.07038416336149433,0.058073411204496855,0.10902107729338355,0.055589550787911265,-0.13112561038271253,-0.024329985136538265,0.08475893936893518,-0.024757414099335358,-0.06617097414776538,-0.024664390352708756,0.06086319714500037,-0.0140009963110699,-0.12488007397959022,0.04630188234735728,-0.020392111455186802,-0.0610230174062701,0.1228214922443266,0.006679372390955064,-0.1947151523551755,0.028974892049588637,-0.1405491562804857,0.06698582895641783,-0.057741612713658776,0.1258844301360284,-0.006630816839899161,0.06367835926112983,-0.030311662463098264,-0.031595661259326106,-0.0708865060367806,0.039871399798391334,-0.027582280599204024,-0.022527724883016152,-0.029965933170914668,0.1021418234671095,0.03089690500024846,-0.08242123358883074,-0.02652300382558855,0.028889694268334175,0.028911299350042125,-0.004501261349255802,-0.10363198392821703,-0.08543112593660644,-0.030835330991825175,0.11655032092042836,-0.04898746310952653,0.04601645890360366,-0.10975342220687594,0.04331239288680247,-0.10146523876051597,0.05317037076599213,0.06660972709123122,-0.04501413659268634,-0.04390960713181644,0.0492555373561531,-0.003213644766908989,-0.10961450784298704,0.03051462813304356,-0.04197172507243351,-0.0020249622050049505,-0.02868611341970075,0.14923008125261156,0.13059316194779397,0.0419258276384356,0.12998692197078354,0.013866126170460602,-0.007774020669538882,-0.10116630032156085,-0.037961707955551885,-0.046669617494198755,0.08714752025981766,0.018162221011650242,-0.05276657227236154,-0.02233513207546512,0.04680588615512283,-0.16976121430179453,-0.0069875528463335754,0.024558295198439134,0.05041311032575826,-0.11142461294544748,-0.036182501288045565,-0.08852763420338344,0.04465052571969107,0.00411408946832181,-0.07805301000773364,0.10174101813307795,0.04211810684979766,0.05588046688160107,0.07355356438264621,-0.07393829096280315,0.018202530438789524,-0.045896552746030175,-0.0038656461164193845,-0.035785500630194145,0.007927933941375136,-0.044999441904191334,-0.052613907101156356,0.056320330869345826,0.020637613914998066,0.003951838327397245,-0.011080370182476082,0.026751635505577714,-0.042300152327893165,-0.021868079619831733,0.02802330391199619,-0.13029331741348843,-0.06812321046503457,0.154220185672855,0.11711516818436611,-0.049154396372892685,0.052756268183132164,0.03994544924159516,-0.10065584817713144,0.1438744054129162,-0.022753865276344043
PC3,0.05215820376984528,0.10601682095380394,0.0790904196727342,0.016111153320308092,-0.050176916622888014,0.06152469178476818,-0.07274858394592684,0.04321924305579044,-0.01878740105108799,0.15287874611702496,0.052952452141657835,-0.11356611543638216,-0.022594195052424732,-0.08707763065096824,0.08525364588337865,0.05324838219855384,0.008397986517360059,-0.009414797927875243,-0.07849045551854192,0.03992391601837456,-0.011408729332326312,0.09125954632412997,0.03543628995254964,0.0653266405489001,-0.03379818774541962,0.05145234887583882,0.019831670702897656,0.01252835383373924,0.062029555536431004,-0.12563889175613793,0.06715964385438479,0.10895145752234743,-0.023415679916726096,0.009357645070778997,0.0348897802649298,-0.008267715643159392,-0.0038401928401010734,0.07811860708918042,0.05220473130362724,0.03618001682404134,0.08035853587927308,0.10162017671838673,-0.012757493664276129,-0.11639483472500331,0.14355693738125874,-0.15437971639608356,0.017784027304719664,0.012200746844199679,0.015594009308809756,0.034167178637032156,0.16772117649145402,0.06365782238271267,0.09523186158529667,0.0630899827824251,0.05799537389020819,-0.10336814520211984,-0.04457973127628248,-0.07892371525446402,-0.05110217148937991,0.02828865081682526,0.08053543158915998,-0.022938659263823477,-0.10397412761356843,-0.11809205353834423,0.0417985746308279,0.08144944891632262,0.13298988680927232,0.020168815456198093,-0.03430298263725409,-0.026137396287219398,-0.024962991232815562,0.16185002965412806,0.060989112714246466,-0.09006086830979462,0.050673084177930344,-0.1264232558142553,0.09761999036881872,0.06942337289234166,0.17182716448621954,-0.011918127068384316,0.008966159380165836,-0.048306856317431174,0.027725849002328207,-0.055506651090374594,-0.02970663869253235,-0.06923707114913567,0.01450158818866707,-0.04698003437962722,-0.10352931452963879,0.0923025021270644,0.08931290920022772,0.15699269084824574,0.0835538589528388,-0.027746111896138258,-0.03332903444303807,0.10265595489128347,-0.023479073065367652,-0.10667729566222525,-0.043726996212931905,0.025111701783107516,0.060979202667615355,0.09459819393689381,-0.002829391486361603,0.01728340569304436,-0.08051440304361661,-0.07886709297808336,0.04796235315491775,0.043709251349184026,0.04556408816712402,0.04406799399501155,-0.008572955965590778,-0.08672936147973447,-0.0914679833490821,-9.692039861875292e-05,-0.11054342040000197,0.10031762161507238,0.006689633033331576,-0.08466921946975926,-0.10965418620091744,-0.1408089037459833,0.052607960782108505,0.10041175821517495,0.07222933425736465,-0.04551737164313605,0.03636016118186,0.04542059692687801,-0.031679352880274944,0.06924191665155263,0.02770664068823139,-0.017499257744181377,-0.0795107615704579,0.08669319725893256,0.030003397833677448,0.008371987296493385,-0.11465630308095145,-0.060941918840928776,-0.06221945483051203,0.020567533206606228,-0.0363841416409508,-0.11436283192983156,-0.11318791777921892,-0.10407916006684538,-0.09395911696561986,-0.06721214104445791,0.11245328145296828,0.02494614216455279,-0.07133029597148212,0.083132138907873,-0.03407783720164887,0.05468075420142445,0.057256131491855794,-0.06436278194513996,0.13482705502475917,0.003008620414197732,0.03871771762235679,0.038653619585677965,0.14606543647831896,0.10247355873946967,0.09788457047833338,0.03309628856039577,0.057108652723960845,-0.020861978702497796,-0.07869445116377964,-0.05008211227982971,-0.09489167863163604,-0.00905380661739838,0.020168356241045612,-0.0158386350603794,0.04186293593510658,-0.10468863745734261,-0.08762126104406909,-0.03720528136615625,-0.09607136489957557,-0.15087461401331617,0.054219174702154135,-0.007989519977286098,-0.018225832761994794,-0.12744391323907572
