Feature,Importance
qcp_070,16.77566146850586
qcp_108,13.386164665222168
qcp_162,12.950489044189453
qcp_155,12.783077239990234
qcp_118,12.747944831848145
qcp_151,12.319378852844238
qcp_084,12.287434577941895
qcp_133,11.896125793457031
qcp_127,11.777889251708984
qcp_176,11.698944091796875
qcp_134,11.579925537109375
qcp_044,11.5589017868042
qcp_078,11.532280921936035
qcp_056,11.426559448242188
qcp_095,11.366218566894531
qcp_045,11.345083236694336
qcp_142,11.311081886291504
qcp_115,11.224589347839355
qcp_042,11.05078411102295
qcp_090,10.957110404968262
qcp_072,10.929031372070312
qcp_163,10.875086784362793
qcp_064,10.705784797668457
qcp_098,10.583719253540039
qcp_021,10.573169708251953
qcp_135,10.562678337097168
qcp_063,10.514677047729492
qcp_037,10.465412139892578
qcp_153,10.44328784942627
qcp_175,10.348036766052246
qcp_121,10.305184364318848
qcp_083,10.24552059173584
qcp_170,10.226911544799805
qcp_101,10.132291793823242
qcp_077,10.107891082763672
qcp_104,10.071495056152344
qcp_116,10.015249252319336
qcp_074,9.955845832824707
qcp_012,9.942553520202637
qcp_059,9.921746253967285
qcp_125,9.918577194213867
qcp_147,9.911426544189453
qcp_065,9.796619415283203
qcp_040,9.769906044006348
qcp_094,9.70460319519043
qcp_113,9.68691349029541
qcp_061,9.686619758605957
qcp_166,9.637213706970215
qcp_145,9.587663650512695
qcp_017,9.502568244934082
qcp_055,9.457246780395508
qcp_157,9.436528205871582
qcp_168,9.391292572021484
qcp_027,9.328409194946289
qcp_052,9.277779579162598
qcp_092,9.18225383758545
qcp_149,9.110852241516113
qcp_111,9.050283432006836
qcp_106,9.040933609008789
qcp_060,9.00357437133789
qcp_075,8.991694450378418
qcp_028,8.988848686218262
qcp_174,8.969356536865234
qcp_047,8.955065727233887
qcp_172,8.883008003234863
qcp_120,8.87358570098877
qcp_022,8.731401443481445
qcp_171,8.70362663269043
qcp_096,8.683503150939941
qcp_109,8.65412425994873
qcp_010,8.642107963562012
qcp_079,8.628864288330078
qcp_097,8.607514381408691
qcp_173,8.522289276123047
qcp_169,8.50879955291748
qcp_031,8.495926856994629
qcp_041,8.494254112243652
qcp_053,8.382405281066895
qcp_088,8.331454277038574
qcp_144,8.295348167419434
qcp_026,8.289827346801758
qcp_165,8.198772430419922
qcp_160,8.18017292022705
qcp_034,8.09850025177002
qcp_019,8.09212589263916
qcp_043,8.082121849060059
qcp_080,8.0686674118042
qcp_099,7.977501392364502
qcp_100,7.964840888977051
qcp_139,7.899777889251709
qcp_038,7.889331340789795
qcp_143,7.881139755249023
qcp_129,7.880164623260498
qcp_069,7.8698530197143555
qcp_016,7.86591911315918
qcp_076,7.8423285484313965
qcp_122,7.80674934387207
qcp_051,7.749040126800537
qcp_029,7.742130279541016
qcp_137,7.71970272064209
qcp_002,7.7034525871276855
qcp_140,7.697385787963867
qcp_117,7.639242172241211
qcp_086,7.525016784667969
qcp_105,7.514321804046631
qcp_126,7.487786293029785
qcp_089,7.469820976257324
qcp_141,7.377302169799805
qcp_159,7.375242233276367
qcp_114,7.371225357055664
qcp_093,7.355469703674316
qcp_107,7.310530662536621
qcp_039,7.26601505279541
qcp_124,7.2648797035217285
qcp_048,7.247028350830078
qcp_025,7.138112545013428
qcp_024,7.114818572998047
qcp_110,7.006687164306641
qcp_057,6.982541561126709
qcp_167,6.93531608581543
qcp_085,6.889329433441162
qcp_136,6.79010009765625
qcp_138,6.7805399894714355
qcp_036,6.757386684417725
qcp_164,6.709963321685791
qcp_082,6.657800197601318
qcp_150,6.587796211242676
qcp_003,6.571925163269043
qcp_049,6.550288200378418
qcp_087,6.547483921051025
qcp_103,6.525075912475586
qcp_148,6.523478031158447
qcp_071,6.459305286407471
qcp_001,6.415702819824219
qcp_081,6.329929828643799
qcp_062,6.273046016693115
qcp_006,6.258658409118652
qcp_146,6.215376377105713
qcp_023,6.177392959594727
qcp_020,6.075942039489746
qcp_091,6.046533107757568
qcp_158,6.035430431365967
qcp_112,6.019664764404297
qcp_123,5.985328197479248
qcp_013,5.956783294677734
qcp_018,5.896798610687256
qcp_130,5.831088066101074
qcp_068,5.795830726623535
qcp_161,5.6966729164123535
qcp_119,5.65916109085083
qcp_008,5.548933029174805
qcp_154,5.51548957824707
qcp_058,5.48935604095459
qcp_035,5.436818599700928
qcp_128,5.415164470672607
qcp_033,5.410050868988037
qcp_177,5.378932952880859
qcp_046,5.331355571746826
qcp_005,5.298458576202393
qcp_014,5.232720375061035
qcp_050,5.120810508728027
qcp_132,5.10618257522583
qcp_178,5.074993133544922
qcp_066,4.925058841705322
qcp_032,4.877896785736084
qcp_156,4.8247857093811035
qcp_030,4.706735134124756
qcp_004,4.7032694816589355
qcp_152,4.388985633850098
qcp_015,4.38332462310791
qcp_009,4.07981538772583
qcp_011,3.819173812866211
qcp_073,3.635915756225586
qcp_054,3.4490885734558105
qcp_007,3.0803065299987793
qcp_067,3.0392050743103027
qcp_102,1.127409815788269
